Index,Title,URL,Summary
1,"Geometric Data Analysis, From Correspondence Analysis to Structured Data
  Analysis (book review)",http://arxiv.org/abs/0804.1244v1,"Review of: Brigitte Le Roux and Henry Rouanet, Geometric Data Analysis, From
Correspondence Analysis to Structured Data Analysis, Kluwer, Dordrecht, 2004,
xi+475 pp."
2,Evaluating the Success of a Data Analysis,http://arxiv.org/abs/1904.11907v1,"A fundamental problem in the practice and teaching of data science is how to
evaluate the quality of a given data analysis, which is different than the
evaluation of the science or question underlying the data analysis. Previously,
we defined a set of principles for describing data analyses that can be used to
create a data analysis and to characterize the variation between data analyses.
Here, we introduce a metric of quality evaluation that we call the success of a
data analysis, which is different than other potential metrics such as
completeness, validity, or honesty. We define a successful data analysis as the
matching of principles between the analyst and the audience on which the
analysis is developed. In this paper, we propose a statistical model and
general framework for evaluating the success of a data analysis. We argue that
this framework can be used as a guide for practicing data scientists and
students in data science courses for how to build a successful data analysis."
3,"Elements and Principles for Characterizing Variation between Data
  Analyses",http://arxiv.org/abs/1903.07639v2,"The data revolution has led to an increased interest in the practice of data
analysis. For a given problem, there can be significant or subtle differences
in how a data analyst constructs or creates a data analysis, including
differences in the choice of methods, tooling, and workflow. In addition, data
analysts can prioritize (or not) certain objective characteristics in a data
analysis, leading to differences in the quality or experience of the data
analysis, such as an analysis that is more or less reproducible or an analysis
that is more or less exhaustive. However, data analysts currently lack a formal
mechanism to compare and contrast what makes analyses different from each
other. To address this problem, we introduce a vocabulary to describe and
characterize variation between data analyses. We denote this vocabulary as the
elements and principles of data analysis, and we use them to describe the
fundamental concepts for the practice and teaching of creating a data analysis.
This leads to two insights: it suggests a formal mechanism to evaluate data
analyses based on objective characteristics, and it provides a framework to
teach students how to build data analyses."
4,Topological Data Analysis,http://arxiv.org/abs/1609.08227v1,"Topological Data Analysis (TDA) can broadly be described as a collection of
data analysis methods that find structure in data. This includes: clustering,
manifold estimation, nonlinear dimension reduction, mode estimation, ridge
estimation and persistent homology. This paper reviews some of these methods."
5,Ball mapper: a shape summary for topological data analysis,http://arxiv.org/abs/1901.07410v1,"Topological data analysis provides a collection of tools to encapsulate and
summarize the shape of data. Currently it is mainly restricted to \emph{mapper
algorithm} and \emph{persistent homology}. In this paper we introduce new
mapper--inspired descriptor that can be applied for exploratory data analysis."
6,Mobile big data analysis with machine learning,http://arxiv.org/abs/1808.00803v2,"This paper investigates to identify the requirement and the development of
machine learning-based mobile big data analysis through discussing the insights
of challenges in the mobile big data (MBD). Furthermore, it reviews the
state-of-the-art applications of data analysis in the area of MBD. Firstly, we
introduce the development of MBD. Secondly, the frequently adopted methods of
data analysis are reviewed. Three typical applications of MBD analysis, namely
wireless channel modeling, human online and offline behavior analysis, and
speech recognition in the internet of vehicles, are introduced respectively.
Finally, we summarize the main challenges and future development directions of
mobile big data analysis."
7,Categorical exploratory data analysis on goodness-of-fit issues,http://arxiv.org/abs/2011.09682v2,"If the aphorism ""All models are wrong""- George Box, continues to be true in
data analysis, particularly when analyzing real-world data, then we should
annotate this wisdom with visible and explainable data-driven patterns. Such
annotations can critically shed invaluable light on validity as well as
limitations of statistical modeling as a data analysis approach. In an effort
to avoid holding our real data to potentially unattainable or even unrealistic
theoretical structures, we propose to utilize the data analysis paradigm called
Categorical Exploratory Data Analysis (CEDA). We illustrate the merits of this
proposal with two real-world data sets from the perspective of goodness-of-fit.
In both data sets, the Normal distribution's bell shape seemingly fits rather
well by first glance. We apply CEDA to bring out where and how each data fits
or deviates from the model shape via several important distributional aspects.
We also demonstrate that CEDA affords a version of tree-based p-value, and
compare it with p-values based on traditional statistical approaches. Along our
data analysis, we invest computational efforts in making graphic display to
illuminate the advantages of using CEDA as one primary way of data analysis in
Data Science education."
8,Design Principles for Data Analysis,http://arxiv.org/abs/2103.05689v1,"The data science revolution has led to an increased interest in the practice
of data analysis. While much has been written about statistical thinking, a
complementary form of thinking that appears in the practice of data analysis is
design thinking -- the problem-solving process to understand the people for
whom a product is being designed. For a given problem, there can be significant
or subtle differences in how a data analyst (or producer of a data analysis)
constructs, creates, or designs a data analysis, including differences in the
choice of methods, tooling, and workflow. These choices can affect the data
analysis products themselves and the experience of the consumer of the data
analysis. Therefore, the role of a producer can be thought of as designing the
data analysis with a set of design principles. Here, we introduce design
principles for data analysis and describe how they can be mapped to data
analyses in a quantitative, objective and informative manner. We also provide
empirical evidence of variation of principles within and between both producers
and consumers of data analyses. Our work leads to two insights: it suggests a
formal mechanism to describe data analyses based on the design principles for
data analysis, and it provides a framework to teach students how to build data
analyses using formal design principles."
9,Self-organizing maps and symbolic data,http://arxiv.org/abs/0709.3587v1,"In data analysis new forms of complex data have to be considered like for
example (symbolic data, functional data, web data, trees, SQL query and
multimedia data, ...). In this context classical data analysis for knowledge
discovery based on calculating the center of gravity can not be used because
input are not $\mathbb{R}^p$ vectors. In this paper, we present an application
on real world symbolic data using the self-organizing map. To this end, we
propose an extension of the self-organizing map that can handle symbolic data."
10,"The Role of Data Analysis in the Development of Intelligent Energy
  Networks",http://arxiv.org/abs/1705.11132v1,"Data analysis plays an important role in the development of intelligent
energy networks (IENs). This article reviews and discusses the application of
data analysis methods for energy big data. The installation of smart energy
meters has provided a huge volume of data at different time resolutions,
suggesting data analysis is required for clustering, demand forecasting, energy
generation optimization, energy pricing, monitoring and diagnostics. The
currently adopted data analysis technologies for IENs include pattern
recognition, machine learning, data mining, statistics methods, etc. However,
existing methods for data analysis cannot fully meet the requirements for
processing the big data produced by the IENs and, therefore, more comprehensive
data analysis methods are needed to handle the increasing amount of data and to
mine more valuable information."
