Index,Title,URL,Summary
1,The Governance of Physical Artificial Intelligence,http://arxiv.org/abs/2304.02924v1,"Physical artificial intelligence can prove to be one of the most important
challenges of the artificial intelligence. The governance of physical
artificial intelligence would define its responsible intelligent application in
the society."
2,"Does an artificial intelligence perform market manipulation with its own
  discretion? -- A genetic algorithm learns in an artificial market simulation",http://arxiv.org/abs/2005.10488v1,"Who should be charged with responsibility for an artificial intelligence
performing market manipulation have been discussed. In this study, I
constructed an artificial intelligence using a genetic algorithm that learns in
an artificial market simulation, and investigated whether the artificial
intelligence discovers market manipulation through learning with an artificial
market simulation despite a builder of artificial intelligence has no intention
of market manipulation. As a result, the artificial intelligence discovered
market manipulation as an optimal investment strategy. This result suggests
necessity of regulation, such as obligating builders of artificial intelligence
to prevent artificial intelligence from performing market manipulation."
3,Impact of Artificial Intelligence on Economic Theory,http://arxiv.org/abs/1509.01213v1,"Artificial intelligence has impacted many aspects of human life. This paper
studies the impact of artificial intelligence on economic theory. In particular
we study the impact of artificial intelligence on the theory of bounded
rationality, efficient market hypothesis and prospect theory."
4,The case for psychometric artificial general intelligence,http://arxiv.org/abs/2101.02179v1,"A short review of the literature on measurement and detection of artificial
general intelligence is made. Proposed benchmarks and tests for artificial
general intelligence are critically evaluated against multiple criteria. Based
on the findings, the most promising approaches are identified and some useful
directions for future work are proposed."
5,"Proceedings of the Thirteenth Conference on Uncertainty in Artificial
  Intelligence (1997)",http://arxiv.org/abs/1304.3846v1,"This is the Proceedings of the Thirteenth Conference on Uncertainty in
Artificial Intelligence, which was held in Providence, RI, August 1-3, 1997"
6,"Proceedings of the Ninth Conference on Uncertainty in Artificial
  Intelligence (1993)",http://arxiv.org/abs/1304.3851v1,"This is the Proceedings of the Ninth Conference on Uncertainty in Artificial
Intelligence, which was held in Washington, DC, July 9-11, 1993"
7,"Proceedings of the Second Conference on Uncertainty in Artificial
  Intelligence (1986)",http://arxiv.org/abs/1304.3859v1,"This is the Proceedings of the Second Conference on Uncertainty in Artificial
Intelligence, which was held in Philadelphia, PA, August 8-10, 1986"
8,Artificial Intelligence in Humans,http://arxiv.org/abs/1311.0716v1,"In this paper, I put forward that in many instances, thinking mechanisms are
equivalent to artificial intelligence modules programmed into the human mind."
9,"AAAI FSS-18: Artificial Intelligence in Government and Public Sector
  Proceedings",http://arxiv.org/abs/1810.06018v1,"Proceedings of the AAAI Fall Symposium on Artificial Intelligence in
Government and Public Sector, Arlington, Virginia, USA, October 18-20, 2018"
10,"Watershed of Artificial Intelligence: Human Intelligence, Machine
  Intelligence, and Biological Intelligence",http://arxiv.org/abs/2104.13155v2,"This article reviews the ""Once learning"" mechanism that was proposed 23 years
ago and the subsequent successes of ""One-shot learning"" in image classification
and ""You Only Look Once - YOLO"" in objective detection. Analyzing the current
development of Artificial Intelligence (AI), the proposal is that AI should be
clearly divided into the following categories: Artificial Human Intelligence
(AHI), Artificial Machine Intelligence (AMI), and Artificial Biological
Intelligence (ABI), which will also be the main directions of theory and
application development for AI. As a watershed for the branches of AI, some
classification standards and methods are discussed: 1) Human-oriented,
machine-oriented, and biological-oriented AI R&D; 2) Information input
processed by Dimensionality-up or Dimensionality-reduction; 3) The use of
one/few or large samples for knowledge learning."
11,"Perspective: Purposeful Failure in Artificial Life and Artificial
  Intelligence",http://arxiv.org/abs/2102.12076v1,"Complex systems fail. I argue that failures can be a blueprint characterizing
living organisms and biological intelligence, a control mechanism to increase
complexity in evolutionary simulations, and an alternative to classical fitness
optimization. Imitating biological successes in Artificial Life and Artificial
Intelligence can be misleading; imitating failures offers a path towards
understanding and emulating life it in artificial systems."
12,"The Artificial Scientist: Logicist, Emergentist, and Universalist
  Approaches to Artificial General Intelligence",http://arxiv.org/abs/2110.01831v1,"We attempt to define what is necessary to construct an Artificial Scientist,
explore and evaluate several approaches to artificial general intelligence
(AGI) which may facilitate this, conclude that a unified or hybrid approach is
necessary and explore two theories that satisfy this requirement to some
degree."
13,Comprehensible Artificial Intelligence on Knowledge Graphs: A survey,http://arxiv.org/abs/2404.03499v1,"Artificial Intelligence applications gradually move outside the safe walls of
research labs and invade our daily lives. This is also true for Machine
Learning methods on Knowledge Graphs, which has led to a steady increase in
their application since the beginning of the 21st century. However, in many
applications, users require an explanation of the Artificial Intelligences
decision. This led to increased demand for Comprehensible Artificial
Intelligence. Knowledge Graphs epitomize fertile soil for Comprehensible
Artificial Intelligence, due to their ability to display connected data, i.e.
knowledge, in a human- as well as machine-readable way. This survey gives a
short history to Comprehensible Artificial Intelligence on Knowledge Graphs.
Furthermore, we contribute by arguing that the concept Explainable Artificial
Intelligence is overloaded and overlapping with Interpretable Machine Learning.
By introducing the parent concept Comprehensible Artificial Intelligence, we
provide a clear-cut distinction of both concepts while accounting for their
similarities. Thus, we provide in this survey a case for Comprehensible
Artificial Intelligence on Knowledge Graphs consisting of Interpretable Machine
Learning on Knowledge Graphs and Explainable Artificial Intelligence on
Knowledge Graphs. This leads to the introduction of a novel taxonomy for
Comprehensible Artificial Intelligence on Knowledge Graphs. In addition, a
comprehensive overview of the research on Comprehensible Artificial
Intelligence on Knowledge Graphs is presented and put into the context of the
taxonomy. Finally, research gaps in the field of Comprehensible Artificial
Intelligence on Knowledge Graphs are identified for future research."
14,Human $\neq$ AGI,http://arxiv.org/abs/2007.07710v1,"Terms Artificial General Intelligence (AGI) and Human-Level Artificial
Intelligence (HLAI) have been used interchangeably to refer to the Holy Grail
of Artificial Intelligence (AI) research, creation of a machine capable of
achieving goals in a wide range of environments. However, widespread implicit
assumption of equivalence between capabilities of AGI and HLAI appears to be
unjustified, as humans are not general intelligences. In this paper, we will
prove this distinction."
15,"Artificial Intelligence Technology analysis using Artificial
  Intelligence patent through Deep Learning model and vector space model",http://arxiv.org/abs/2111.11295v1,"Thanks to rapid development of artificial intelligence technology in recent
years, the current artificial intelligence technology is contributing to many
part of society. Education, environment, medical care, military, tourism,
economy, politics, etc. are having a very large impact on society as a whole.
For example, in the field of education, there is an artificial intelligence
tutoring system that automatically assigns tutors based on student's level. In
the field of economics, there are quantitative investment methods that
automatically analyze large amounts of data to find investment laws to create
investment models or predict changes in financial markets. As such, artificial
intelligence technology is being used in various fields. So, it is very
important to know exactly what factors have an important influence on each
field of artificial intelligence technology and how the relationship between
each field is connected. Therefore, it is necessary to analyze artificial
intelligence technology in each field. In this paper, we analyze patent
documents related to artificial intelligence technology. We propose a method
for keyword analysis within factors using artificial intelligence patent data
sets for artificial intelligence technology analysis. This is a model that
relies on feature engineering based on deep learning model named KeyBERT, and
using vector space model. A case study of collecting and analyzing artificial
intelligence patent data was conducted to show how the proposed model can be
applied to real world problems."
16,Three IQs of AI Systems and their Testing Methods,http://arxiv.org/abs/1712.06440v1,"The rapid development of artificial intelligence has brought the artificial
intelligence threat theory as well as the problem about how to evaluate the
intelligence level of intelligent products. Both need to find a quantitative
method to evaluate the intelligence level of intelligence systems, including
human intelligence. Based on the standard intelligence system and the extended
Von Neumann architecture, this paper proposes General IQ, Service IQ and Value
IQ evaluation methods for intelligence systems, depending on different
evaluation purposes. Among them, the General IQ of intelligence systems is to
answer the question of whether the artificial intelligence can surpass the
human intelligence, which is reflected in putting the intelligence systems on
an equal status and conducting the unified evaluation. The Service IQ and Value
IQ of intelligence systems are used to answer the question of how the
intelligent products can better serve the human, reflecting the intelligence
and required cost of each intelligence system as a product in the process of
serving human."
17,"Examining correlation between trust and transparency with explainable
  artificial intelligence",http://arxiv.org/abs/2108.04770v1,"Trust between humans and artificial intelligence(AI) is an issue which has
implications in many fields of human computer interaction. The current issue
with artificial intelligence is a lack of transparency into its decision
making, and literature shows that increasing transparency increases trust.
Explainable artificial intelligence has the ability to increase transparency of
AI, which could potentially increase trust for humans. This paper attempts to
use the task of predicting yelp review star ratings with assistance from an
explainable and non explainable artificial intelligence to see if trust is
increased with increased transparency. Results show that for these tasks,
explainable artificial intelligence provided significant increase in trust as a
measure of influence."
18,"Proceedings of the Twenty-Seventh Conference on Uncertainty in
  Artificial Intelligence (2011)",http://arxiv.org/abs/1205.2596v2,"This is the Proceedings of the Twenty-Seventh Conference on Uncertainty in
Artificial Intelligence, which was held in Barcelona, Spain, July 14 - 17 2011."
19,"Proceedings of the Twenty-Sixth Conference on Uncertainty in Artificial
  Intelligence (2010)",http://arxiv.org/abs/1205.2597v2,"This is the Proceedings of the Twenty-Sixth Conference on Uncertainty in
Artificial Intelligence, which was held on Catalina Island, CA, July 8 - 11
2010."
20,"Proceedings of the Twenty-Fifth Conference on Uncertainty in Artificial
  Intelligence (2009)",http://arxiv.org/abs/1206.3959v2,"This is the Proceedings of the Twenty-Fifth Conference on Uncertainty in
Artificial Intelligence, which was held in Montreal, QC, Canada, June 18 - 21
2009."
21,"Proceedings of the Twenty-Fourth Conference on Uncertainty in Artificial
  Intelligence (2008)",http://arxiv.org/abs/1208.5154v2,"This is the Proceedings of the Twenty-Fourth Conference on Uncertainty in
Artificial Intelligence, which was held in Helsinki, Finland, July 9 - 12 2008."
22,"Proceedings of the Twenty-First Conference on Uncertainty in Artificial
  Intelligence (2005)",http://arxiv.org/abs/1208.5159v2,"This is the Proceedings of the Twenty-First Conference on Uncertainty in
Artificial Intelligence, which was held in Edinburgh, Scotland July 26 - 29
2005."
23,"Proceedings of the Twenty-Second Conference on Uncertainty in Artificial
  Intelligence (2006)",http://arxiv.org/abs/1208.5160v2,"This is the Proceedings of the Twenty-Second Conference on Uncertainty in
Artificial Intelligence, which was held in Cambridge, MA, July 13 - 16 2006."
24,"Proceedings of the Twentieth Conference on Uncertainty in Artificial
  Intelligence (2004)",http://arxiv.org/abs/1208.5161v2,"This is the Proceedings of the Twentieth Conference on Uncertainty in
Artificial Intelligence, which was held in Banff, Canada, July 7 - 11 2004."
25,"Proceedings of the Twenty-Eighth Conference on Uncertainty in Artificial
  Intelligence (2012)",http://arxiv.org/abs/1301.4604v2,"This is the Proceedings of the Twenty-Eighth Conference on Uncertainty in
Artificial Intelligence, which was held on Catalina Island, CA August 14-18
2012."
26,"Proceedings of the Nineteenth Conference on Uncertainty in Artificial
  Intelligence (2003)",http://arxiv.org/abs/1301.4606v2,"This is the Proceedings of the Nineteenth Conference on Uncertainty in
Artificial Intelligence, which was held in Acapulco, Mexico, August 7-10 2003"
27,"Proceedings of the Seventeenth Conference on Uncertainty in Artificial
  Intelligence (2001)",http://arxiv.org/abs/1301.4607v2,"This is the Proceedings of the Seventeenth Conference on Uncertainty in
Artificial Intelligence, which was held in Seattle, WA, August 2-5 2001"
28,"Proceedings of the Eighteenth Conference on Uncertainty in Artificial
  Intelligence (2002)",http://arxiv.org/abs/1301.4608v2,"This is the Proceedings of the Eighteenth Conference on Uncertainty in
Artificial Intelligence, which was held in Alberta, Canada, August 1-4 2002"
29,"Proceedings of the Sixteenth Conference on Uncertainty in Artificial
  Intelligence (2000)",http://arxiv.org/abs/1304.3842v2,"This is the Proceedings of the Sixteenth Conference on Uncertainty in
Artificial Intelligence, which was held in San Francisco, CA, June 30 - July 3,
2000"
30,"Proceedings of the Fifteenth Conference on Uncertainty in Artificial
  Intelligence (1999)",http://arxiv.org/abs/1304.3843v2,"This is the Proceedings of the Fifteenth Conference on Uncertainty in
Artificial Intelligence, which was held in Stockholm Sweden, July 30 - August
1, 1999"
31,"Proceedings of the Fourteenth Conference on Uncertainty in Artificial
  Intelligence (1998)",http://arxiv.org/abs/1304.3844v2,"This is the Proceedings of the Fourteenth Conference on Uncertainty in
Artificial Intelligence, which was held in Madison, WI, July 24-26, 1998"
32,"Proceedings of the Twelfth Conference on Uncertainty in Artificial
  Intelligence (1996)",http://arxiv.org/abs/1304.3847v2,"This is the Proceedings of the Twelfth Conference on Uncertainty in
Artificial Intelligence, which was held in Portland, OR, August 1-4, 1996"
33,"Proceedings of the Eleventh Conference on Uncertainty in Artificial
  Intelligence (1995)",http://arxiv.org/abs/1304.3848v2,"This is the Proceedings of the Eleventh Conference on Uncertainty in
Artificial Intelligence, which was held in Montreal, QU, August 18-20, 1995"
34,"Proceedings of the Tenth Conference on Uncertainty in Artificial
  Intelligence (1994)",http://arxiv.org/abs/1304.3849v1,"This is the Proceedings of the Tenth Conference on Uncertainty in Artificial
Intelligence, which was held in Seattle, WA, July 29-31, 1994"
35,"Proceedings of the Eighth Conference on Uncertainty in Artificial
  Intelligence (1992)",http://arxiv.org/abs/1304.3852v1,"This is the Proceedings of the Eighth Conference on Uncertainty in Artificial
Intelligence, which was held in Stanford, CA, July 17-19, 1992"
36,"Proceedings of the Seventh Conference on Uncertainty in Artificial
  Intelligence (1991)",http://arxiv.org/abs/1304.3853v1,"This is the Proceedings of the Seventh Conference on Uncertainty in
Artificial Intelligence, which was held in Los Angeles, CA, July 13-15, 1991"
37,"Proceedings of the Sixth Conference on Uncertainty in Artificial
  Intelligence (1990)",http://arxiv.org/abs/1304.3854v2,"This is the Proceedings of the Sixth Conference on Uncertainty in Artificial
Intelligence, which was held in Cambridge, MA, Jul 27 - Jul 29, 1990"
38,"Proceedings of the Fifth Conference on Uncertainty in Artificial
  Intelligence (1989)",http://arxiv.org/abs/1304.3855v1,"This is the Proceedings of the Fifth Conference on Uncertainty in Artificial
Intelligence, which was held in Windsor, ON, August 18-20, 1989"
39,"Proceedings of the Fourth Conference on Uncertainty in Artificial
  Intelligence (1988)",http://arxiv.org/abs/1304.3856v1,"This is the Proceedings of the Fourth Conference on Uncertainty in Artificial
Intelligence, which was held in Minneapolis, MN, July 10-12, 1988"
40,"Proceedings of the Third Conference on Uncertainty in Artificial
  Intelligence (1987)",http://arxiv.org/abs/1304.3857v1,"This is the Proceedings of the Third Conference on Uncertainty in Artificial
Intelligence, which was held in Seattle, WA, July 10-12, 1987"
41,"Proceedings of the First Conference on Uncertainty in Artificial
  Intelligence (1985)",http://arxiv.org/abs/1304.4182v2,"This is the Proceedings of the First Conference on Uncertainty in Artificial
Intelligence, which was held in Los Angeles, CA, July 10-12, 1985"
42,"AAAI FSS-19: Artificial Intelligence in Government and Public Sector
  Proceedings",http://arxiv.org/abs/1911.01156v2,"Proceedings of the AAAI Fall Symposium on Artificial Intelligence in
Government and Public Sector, Arlington, Virginia, USA, November 7-8, 2019"
43,"Proceedings of the Twenty-Ninth Conference on Uncertainty in Artificial
  Intelligence (2013)",http://arxiv.org/abs/1309.7971v2,"This is the Proceedings of the Twenty-Ninth Conference on Uncertainty in
Artificial Intelligence, which was held in Bellevue, WA, August 11-15, 2013"
44,Philosophy in the Face of Artificial Intelligence,http://arxiv.org/abs/1605.06048v1,"In this article, I discuss how the AI community views concerns about the
emergence of superintelligent AI and related philosophical issues."
45,"Advances in Artificial Intelligence Require Progress Across all of
  Computer Science",http://arxiv.org/abs/1707.04352v1,"Advances in Artificial Intelligence require progress across all of computer
science."
46,"AAAI FSS-20: Artificial Intelligence in Government and Public Sector
  Proceedings",http://arxiv.org/abs/2011.04527v2,"Proceedings of the AAAI Fall Symposium on Artificial Intelligence in
Government and Public Sector, Washington, DC, USA, November 13-14, 2020"
47,"AAAI FSS-21: Artificial Intelligence in Government and Public Sector
  Proceedings",http://arxiv.org/abs/2112.05614v1,"Proceedings of the AAAI Fall Symposium on Artificial Intelligence in
Government and Public Sector, Washington, DC, USA, November 4-6, 2021"
48,"Intelligence of Astronomical Optical Telescope: Present Status and
  Future Perspectives",http://arxiv.org/abs/2306.16834v2,"Artificial intelligence technology has been widely used in astronomy, and new
artificial intelligence technologies and application scenarios are constantly
emerging. There have been a large number of papers reviewing the application of
artificial intelligence technology in astronomy. However, relevant articles
seldom mention telescope intelligence separately, and it is difficult to
understand the current development status and research hotspots of telescope
intelligence from these papers. This paper combines the development history of
artificial intelligence technology and the difficulties of critical
technologies of telescopes, comprehensively introduces the development and
research hotspots of telescope intelligence, then conducts statistical analysis
on various research directions of telescope intelligence and defines the
research directions' merits. All kinds of research directions are evaluated,
and the research trend of each telescope's intelligence is pointed out.
Finally, according to the advantages of artificial intelligence technology and
the development trend of telescopes, future research hotspots of telescope
intelligence are given."
49,AAAI-2019 Workshop on Games and Simulations for Artificial Intelligence,http://arxiv.org/abs/1903.02172v1,"This volume represents the accepted submissions from the AAAI-2019 Workshop
on Games and Simulations for Artificial Intelligence held on January 29, 2019
in Honolulu, Hawaii, USA. https://www.gamesim.ai"
50,From Statistical Relational to Neuro-Symbolic Artificial Intelligence,http://arxiv.org/abs/2003.08316v2,"Neuro-symbolic and statistical relational artificial intelligence both
integrate frameworks for learning with logical reasoning. This survey
identifies several parallels across seven different dimensions between these
two fields. These cannot only be used to characterize and position
neuro-symbolic artificial intelligence approaches but also to identify a number
of directions for further research."
51,A Study on Artificial Intelligence IQ and Standard Intelligent Model,http://arxiv.org/abs/1512.00977v1,"Currently, potential threats of artificial intelligence (AI) to human have
triggered a large controversy in society, behind which, the nature of the issue
is whether the artificial intelligence (AI) system can be evaluated
quantitatively. This article analyzes and evaluates the challenges that the AI
development level is facing, and proposes that the evaluation methods for the
human intelligence test and the AI system are not uniform; and the key reason
for which is that none of the models can uniformly describe the AI system and
the beings like human. Aiming at this problem, a standard intelligent system
model is established in this study to describe the AI system and the beings
like human uniformly. Based on the model, the article makes an abstract
mathematical description, and builds the standard intelligent machine
mathematical model; expands the Von Neumann architecture and proposes the
Liufeng - Shiyong architecture; gives the definition of the artificial
intelligence IQ, and establishes the artificial intelligence scale and the
evaluation method; conduct the test on 50 search engines and three human
subjects at different ages across the world, and finally obtains the ranking of
the absolute IQ and deviation IQ ranking for artificial intelligence IQ 2014."
52,"Hybrid Systems Knowledge Representation Using Modelling Environment
  System Techniques Artificial Intelligence",http://arxiv.org/abs/1409.1170v2,"Knowledge-based or Artificial Intelligence techniques are used increasingly
as alternatives to more classical techniques to model ENVIRONMENTAL SYSTEMS.
Use of Artificial Intelligence (AI) in environmental modelling has increased
with recognition of its potential. In this paper we examine the DIFFERENT
TECHNIQUES of Artificial intelligence with profound examples of human
perception, learning and reasoning to solve complex problems. However with the
increase of complexity better methods are required. Keeping in view of the
above some researchers introduced the idea of hybrid mechanism in which two or
more methods can be combined which seems to be a positive effort for creating a
more complex; advanced and intelligent system which has the capability to in-
cooperate human decisions thus driving the landscape changes."
