Index,Title,URL,Summary
1,"The Hadamard Products for bi-periodic Fibonacci and bi-periodic Lucas
  Generating matrices",http://arxiv.org/abs/1705.05127v1,"In this paper, firstly, we define the Qq-generating matrix for bi-periodic
Fibonacci polynomial. And we give nth power, determinant and some properties of
the bi-periodic Fibonacci polynomial by considering this matrix representation.
Also, we introduce the Hadamard products for bi-periodic Fibonacci Qnq
generating matrix and bi-periodic Lucas Qnl generating matrix of which entries
is bi-periodic Fibonacci and Lucas numbers. Then, we investigate some
properties of these products."
2,"Auto-BI: Automatically Build BI-Models Leveraging Local Join Prediction
  and Global Schema Graph",http://arxiv.org/abs/2306.12515v1,"Business Intelligence (BI) is crucial in modern enterprises and
billion-dollar business. Traditionally, technical experts like database
administrators would manually prepare BI-models (e.g., in star or snowflake
schemas) that join tables in data warehouses, before less-technical business
users can run analytics using end-user dashboarding tools. However, the
popularity of self-service BI (e.g., Tableau and Power-BI) in recent years
creates a strong demand for less technical end-users to build BI-models
themselves.
  We develop an Auto-BI system that can accurately predict BI models given a
set of input tables, using a principled graph-based optimization problem we
propose called \textit{k-Min-Cost-Arborescence} (k-MCA), which holistically
considers both local join prediction and global schema-graph structures,
leveraging a graph-theoretical structure called \textit{arborescence}. While we
prove k-MCA is intractable and inapproximate in general, we develop novel
algorithms that can solve k-MCA optimally, which is shown to be efficient in
practice with sub-second latency and can scale to the largest BI-models we
encounter (with close to 100 tables).
  Auto-BI is rigorously evaluated on a unique dataset with over 100K real BI
models we harvested, as well as on 4 popular TPC benchmarks. It is shown to be
both efficient and accurate, achieving over 0.9 F1-score on both real and
synthetic benchmarks."
3,"Thermoelectric power of Bi and Bi(1-x)Te(x), x=0.0014,in porous Vycor
  glass",http://arxiv.org/abs/cond-mat/0311112v1,"Semiconductor quantum wires constitute a promising thermoelectric material
because of the increase of the electronic density of states in low-dimensional
materials. We studied the magnetic-field-dependent resistance and Seebeck
coefficient of a high-density network of 6-nm-diameter wires of Bi and of
Bi(1-x)Te(x), x=0.0014, in porous Vycor glass. The resistance R increases as
temperature decreases from 300 K down to 0.3 K for both composites. However, in
contrast to recent results that demonstrate the semiconducting behavior of the
resistance and very large enhancements of the thermoelectric power of
composites containing Bi nanowires with diameters of 9 and 15 nm, we find that
the resistance is not thermally activated and that the thermoelectric power of
the composites is of the same order of magnitude as the thermoelectric power of
bulk Bi. Our results are consistent with the nanowires having carrier density
that is enhanced by surface effects."
4,"Thermoelectric power factor of Bi-Sb-Te and Bi-Te-Se alloys and doping
  strategy: First-principles study",http://arxiv.org/abs/1704.01723v1,"By performing first principles calculations combined with Boltzmann transport
equations, we calculate the thermoelectric power factor (PF) of Bi-Sb-Te and
Bi-Te-Se ternary alloys as a function of alloy composition ratio, carrier
concentration, and temperature. The point defect formation energy calculations
also perform to search potential n-type dopant candidates in ternaries."
5,"Effect of Bi-substitution on Structural Stability and Improved
  Thermoelectric Performance of p-type Half-Heusler TaSbRu: A First-principles
  Study",http://arxiv.org/abs/2008.12564v1,"Recently, Fang et al. have predicted a high ZT of 1.54 in TaSbRu alloys at
1200 K from first-principles without considering spin-orbit interaction,
accurate electronic structure, details of phonon scattering, and
energy-dependent holes relaxation time. Here, we report the details of
structural stability and thermoelectric performance of Bi-Substituted p-type
TaSbRu from first-principles calculations considering theses important
parameters. This indirect bandgap semiconductor (Eg=0.8 eV by TB-mBJ+SOC) has
highly dispersive and degenerate valence bands, which lead to a maximum power
factor, 3.8 mWm-1K-2 at 300K. As Sb-5p has a small contribution to the bandgap
formation, the substitution of Bi on the Sb site does not cause significant
change to the electronic structure. Although the Seebeck coefficient increases
by Bi due to slight changes in the bandgap, electrical conductivity, and hence,
the power factor reduces to ~3 mW m-1K-2 at 300K (50% Bi). On the other side,
lattice thermal conductivity drops effectively to 5 from 20 W/m K as Bi
introduces a significant contribution in the acoustic phonon region and
intensify phonon scattering. Thus, ZT value is improved through
Bi-substitution, reaching 1.1 (50% Bi) at 1200 K from 0.45 (pure TaSbRu) only.
Therefore, the present study suggests how to improve the TE performance of
Sb-based half-Heusler compounds and TaSbRu (with 50% Bi) is a promising
material for high-temperature applications."
6,"Rotatory power reversal induced by magnetic-current in bi-isotropic
  media",http://arxiv.org/abs/2207.03888v1,"Bi-isotropic media constitute a proper scenario for scrutinizing optical
effects stemming from magnetoelectric parameters. Chiral magnetic current is a
macroscopic effect arising from the chiral magnetic effect that enriches the
phenomenology of a classical dielectric medium. This work examines optical
aspects of bi-isotropic media in the presence of magnetic conductivity. The
full isotropic scenario manifests circular birefringence described by a
dispersive rotatory power that changes sign at a given frequency. For a
bi-isotropic medium with antisymmetric magnetic conductivity, an intricate
dispersive rotatory power is attained, supplied with sign reversal as well.
This scenario also indicates a handedness reversion of the medium, an unusual
property in dielectrics, which may work as a signature of bi-isotropic media
supporting chiral magnetic current."
7,"Navigating the acceptance of implementing business intelligence in
  organizations: A system dynamics approach",http://arxiv.org/abs/2308.10244v1,"The rise of information technology has transformed the business landscape,
with organizations increasingly relying on information systems to collect and
store vast amounts of data. To stay competitive, businesses must harness this
data to make informed decisions that optimize their actions in response to the
market. Business intelligence (BI) is an approach that enables organizations to
leverage data-driven insights for better decision-making, but implementing BI
comes with its own set of challenges. Accordingly, understanding the key
factors that contribute to successful implementation is crucial.
  This study examines the factors affecting the implementation of BI projects
by analyzing the interactions between these factors using system dynamics
modeling. The research draws on interviews with five BI experts and a review of
the background literature to identify effective implementation strategies.
Specifically, the study compares traditional and self-service implementation
approaches and simulates their respective impacts on organizational acceptance
of BI. The results show that the two approaches were equally effective in
generating organizational acceptance until the twenty-fifth month of
implementation, after which the self-service strategy generated significantly
higher levels of acceptance than the traditional strategy. In fact, after 60
months, the self-service approach was associated with a 30% increase in
organizational acceptance over the traditional approach. The paper also
provides recommendations for increasing the acceptance of BI in both
implementation strategies. Overall, this study underscores the importance of
identifying and addressing key factors that impact BI implementation success,
offering practical guidance to organizations seeking to leverage the power of
BI in today's competitive business environment."
8,"Fano resonance in two-dimensional optical waveguide arrays with a
  bi-modal defect",http://arxiv.org/abs/nlin/0508016v1,"We study the two-dimensional extension of the Fano-Anderson model on the
basis of a two-dimensional optical waveguide array with a bi-modal defect. We
demonstrate numerically the persistence of the Fano resonance in wavepacket
scattering process by the defect. An analytical approximation is derived for
the total scattered light power."
9,"Strategy for enhanced thermoelectric performance of Bi2S3 nanorods by Bi
  nanoinclusions",http://arxiv.org/abs/1906.03003v1,"This is the first report on the enhanced thermoelectric (TE) properties of
novel Bi2S3-Bi nanocomposites synthesized using a one-step polyol method at
different reaction temperatures (TRe) and time. They are well-characterized as
nanorod-composites, coexistent with orthorhombic Bi2S3 and rhombohedral Bi
phases together in which the latter coats the former forming Bi2S3-Bi
core-shell type structures along with independent Bi nanoparticles (NPs). There
is a very significant observation of systematic reduction in electri-cal
resistivity \r{ho} with reaction temperature and time duration increase,
revealing a promising approach for reduction of \r{ho} in this highly resistive
Bi2S3 and hence resolving the earlier obstacles for its thermoelectric
application potentials for the past few decades. Most astonishingly, TE power
factor at 300 K of highest Bi content nanocomposite pellet, made at 27 oC using
~900 MPa pressure, is 3 orders of magnitude greater than that of hot-pressed
Bi2S3, or even 23% better than that of spark plasma-sintered core-shell
Bi2S3@Bi sample reported earlier (Tarachand et al. Nano Res. 2016, 9, 3291; Ge
et al. ACS Appl. Mater. Interfaces 2017, 9, 4828). Considering the probable
greatly reduced thermal conductivity due to their complex nanostructures, the
significantly improved TE performance potential near 300 K is highly
anticipated for these toxic- and rare earth element-free TE nanocomposites,
making the present synthesis method as a pioneering approach for developing
enhanced thermoelectric properties of Bi2S3-based materials without using extra
sintering steps."
10,"Resonant-state expansion for open optical systems: Generalization to
  magnetic, chiral, and bi-anisotropic materials",http://arxiv.org/abs/1801.08883v1,"The resonant-state expansion, a recently developed powerful method in
electrodynamics, is generalized here for open optical systems containing
magnetic, chiral, or bi-anisotropic materials. It is shown that the key matrix
eigenvalue equation of the method remains the same, but the matrix elements of
the perturbation now contain variations of the permittivity, permeability, and
bi-anisotropy tensors. A general normalization of resonant states in terms of
the electric and magnetic fields is presented."
